Brand,Active,SortOrder,ProgramID,ProgramName,ProgramType,QualificationType,FleetTier,Tier1Rule,Tier2Rule,MinQualifyingHandheldPurchase,MinUnits,MaxUnits,DiscountPercent,DealerRebatePercent,DiscountBasis,DealerRebateBasis,CanCombineWithRebate,CanCombineWithFinance,RequiresApproval,DisplayToCustomer,StartDate,EndDate,Notes
STIHL,T,1,STIHL_HANDHELD_T1,Power Tool Pro Fleet Tier 1,Fleet,HandheldPurchase,Tier1,,,2500.00,,,,,SalePriceOrMSRP,SalePriceOrMSRP,F,T,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,2,STIHL_HANDHELD_T2,Power Tool Pro Fleet Tier 2,Fleet,HandheldPurchase,Tier2,,,5000.00,,,,,SalePriceOrMSRP,SalePriceOrMSRP,F,T,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,3,STIHL_ZT_FLEET,STIHL Zero-Turn Fleet,Fleet,UnitOrHandheld,Tier1,Units>=2 OR Handheld>=2500,Units>=4 OR Handheld>=5000, , ,,,,SalePriceOrMSRP,SalePriceOrMSRP,F,T,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,4,STIHL_BID_10_5,STIHL Bid - 10% / 5% Rebate,Bid,,,,,,,,10.00,5.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,5,STIHL_BID_11_5.5,STIHL Bid - 11% / 5.5% Rebate,Bid,,,,,,,,11.00,5.50,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,6,STIHL_BID_12_6,STIHL Bid - 12% / 6% Rebate,Bid,,,,,,,,12.00,6.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,7,STIHL_BID_13_6.5,STIHL Bid - 13% / 6.5% Rebate,Bid,,,,,,,,13.00,6.50,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,8,STIHL_BID_14_7,STIHL Bid - 14% / 7% Rebate,Bid,,,,,,,,14.00,7.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,9,STIHL_BID_15_7.5,STIHL Bid - 15% / 7.5% Rebate,Bid,,,,,,,,15.00,7.50,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,10,STIHL_BID_16_8,STIHL Bid - 16% / 8% Rebate,Bid,,,,,,,,16.00,8.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,11,STIHL_BID_17_8.5,STIHL Bid - 17% / 8.5% Rebate,Bid,,,,,,,,17.00,8.50,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,12,STIHL_BID_18_9,STIHL Bid - 18% / 9% Rebate,Bid,,,,,,,,18.00,9.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,13,STIHL_BID_19_9.5,STIHL Bid - 19% / 9.5% Rebate,Bid,,,,,,,,19.00,9.50,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,14,STIHL_BID_20_10,STIHL Bid - 20% / 10% Rebate,Bid,,,,,,,,20.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,15,STIHL_BID_21_10,STIHL Bid - 21% / 10% Rebate,Bid,,,,,,,,21.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,16,STIHL_BID_22_10,STIHL Bid - 22% / 10% Rebate,Bid,,,,,,,,22.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,17,STIHL_BID_23_10,STIHL Bid - 23% / 10% Rebate,Bid,,,,,,,,23.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,18,STIHL_BID_24_10,STIHL Bid - 24% / 10% Rebate,Bid,,,,,,,,24.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,19,STIHL_BID_25_10,STIHL Bid - 25% / 10% Rebate,Bid,,,,,,,,25.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,20,STIHL_BID_26_10,STIHL Bid - 26% / 10% Rebate,Bid,,,,,,,,26.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,21,STIHL_BID_27_10,STIHL Bid - 27% / 10% Rebate,Bid,,,,,,,,27.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,22,STIHL_BID_28_10,STIHL Bid - 28% / 10% Rebate,Bid,,,,,,,,28.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,23,STIHL_BID_29_10,STIHL Bid - 29% / 10% Rebate,Bid,,,,,,,,29.00,10.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,24,STIHL_BID_30_10,STIHL Bid - 30% / 10% Rebate,Bid,,,,,,,,30.00,1.00,SalePriceOrMSRP,SalePriceOrMSRP,F,F,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
STIHL,T,25,STIHL_ZT_BID,STIHL Zero-Turn Bid Assist,Bid,Unit, ,,, , ,,10.00,5.00,SalePriceOrMSRP,SalePriceOrMSRP,F,T,T,F,"January 1, 2026","December 31, 2026",Requires Dealer Approval
