PowerheadSKU,AttachmentModel,AttachmentSTIHLSKU,AttachmmentName,AK10_Compatible,AK10_RuntimeMin,AK10_RuntimeMax,AK20_Compatible,AK20_RuntimeLow,AK20_RuntimeHigh,AK30_Compatible,AK30_RuntimeLow,AK30_RuntimeHigh,AK30S_Compatible,AK30S_RuntimeLow,AK30S_RuntimeHigh,AP200S_Compatible,AP200S_RuntimeLow,AP200S_RuntimeHigh,AP300S_Compatible,AP300S_RuntimeLow,AP300S_RuntimeHigh,AP500S_Compatible,AP500S_RuntimeLow,AP500S_RuntimeHigh,AR2000L_Compatible,AR2000L_RuntimeLow,AR2000L_RuntimeHigh,AR3000L_Compatible,AR3000L_RuntimeLow,AR3000L_RuntimeHigh,RuntimeNote
KMA80R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",TRUE, , ,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,TRUE, , ,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",TRUE,,,TRUE,,,TRUE,,,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,TRUE,5,10,TRUE,10,20,TRUE,15,25,TRUE,15,25,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,TRUE,10,20,TRUE,20,40,TRUE,30,50,TRUE,30,50,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,TRUE,5,5,TRUE,10,10,TRUE,12,12,TRUE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,TRUE,8,12,TRUE,15,25,TRUE,20,30,TRUE,20,30,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,TRUE,12,20,TRUE,25,45,TRUE,35,55,TRUE,35,55,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,TRUE,8,12,TRUE,15,25,TRUE,20,30,TRUE,20,30,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",TRUE,10,20,TRUE,20,40,TRUE,25,50,TRUE,25,50,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",TRUE,10,20,TRUE,20,40,TRUE,25,50,TRUE,25,50,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",TRUE,35,50,TRUE,70,100,TRUE,90,130,TRUE,90,130,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",TRUE,35,50,TRUE,70,100,TRUE,90,130,TRUE,90,130,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,TRUE,35,50,TRUE,70,100,TRUE,90,130,TRUE,90,130,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",TRUE,35,50,TRUE,70,100,TRUE,90,130,TRUE,90,130,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",TRUE,35,50,TRUE,70,100,TRUE,90,130,TRUE,90,130,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,TRUE,10,15,TRUE,25,30,TRUE,30,35,TRUE,30,35,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,TRUE,10,15,TRUE,25,30,TRUE,30,35,TRUE,30,35,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,TRUE,10,15,TRUE,25,30,TRUE,30,35,TRUE,30,35,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
KMA80R,BG-KM,4606 740 5001 US,BG-KM Blower,TRUE,5,10,TRUE,10,20,TRUE,15,25,TRUE,15,25,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMA120R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA120R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,15,30,TRUE,25,50,TRUE,30,60,TRUE,90,180,TRUE,130,270,
KMA120R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,35,60,TRUE,55,100,TRUE,60,120,TRUE,90,100,TRUE,130,270,
KMA120R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,12,12,TRUE,20,20,TRUE,25,25,TRUE,70,70,TRUE,105,105,
KMA120R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,20,30,TRUE,30,45,TRUE,35,55,TRUE,100,170,TRUE,150,250,
KMA120R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,55,85,TRUE,65,100,TRUE,80,120,TRUE,240,350,TRUE,360,520,
KMA120R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,20,30,TRUE,30,45,TRUE,35,55,TRUE,100,170,TRUE,150,250,
KMA120R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,35,70,TRUE,40,85,TRUE,45,100,TRUE,130,300,TRUE,200,450,
KMA120R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,35,70,TRUE,40,85,TRUE,45,100,TRUE,130,300,TRUE,200,450,
KMA120R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,90,130,TRUE,160,240,TRUE,190,290,TRUE,560,860,TRUE,840,1290,
KMA120R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,90,130,TRUE,160,240,TRUE,190,290,TRUE,560,860,TRUE,840,1290,
KMA120R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,90,130,TRUE,160,240,TRUE,190,290,TRUE,560,860,TRUE,840,1290,
KMA120R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,90,130,TRUE,160,240,TRUE,190,290,TRUE,560,860,TRUE,840,1290,
KMA120R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,90,130,TRUE,160,240,TRUE,190,290,TRUE,560,860,TRUE,840,1290,
KMA120R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,40,50,TRUE,50,60,TRUE,60,70,TRUE,180,210,TRUE,270,320,
KMA120R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,40,50,TRUE,50,60,TRUE,60,70,TRUE,180,210,TRUE,270,320,
KMA120R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,30,35,TRUE,50,60,TRUE,60,70,TRUE,180,210,TRUE,270,320,
KMA120R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,15,25,TRUE,35,50,TRUE,30,55,TRUE,75,175,TRUE,110,260,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMA135R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA135R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,14,30,TRUE,22,47,TRUE,26,54,TRUE,81,170,TRUE,120,250,
KMA135R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,30,60,TRUE,50,93,TRUE,60,120,TRUE,170,325,TRUE,240,470,
KMA135R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,9,9,TRUE,,,TRUE,,,TRUE,60,60,TRUE,90,90,
KMA135R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,12,23,TRUE,22,41,TRUE,26,49,TRUE,75,145,TRUE,110,210,
KMA135R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,57,57,TRUE,85,85,TRUE,102,102,TRUE,300,300,TRUE,450,450,
KMA135R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,12,23,TRUE,22,41,TRUE,26,49,TRUE,75,145,TRUE,110,210,
KMA135R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,19,42,TRUE,36,78,TRUE,43,97,TRUE,120,275,TRUE,180,320,
KMA135R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,19,42,TRUE,36,78,TRUE,43,97,TRUE,120,275,TRUE,180,320,
KMA135R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,81,123,TRUE,152,229,TRUE,182,275,TRUE,540,810,TRUE,790,1150,
KMA135R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,25,31,TRUE,46,57,TRUE,55,68,TRUE,160,200,TRUE,230,300,
KMA135R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,25,31,TRUE,46,57,TRUE,55,68,TRUE,160,200,TRUE,230,300,
KMA135R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,25,31,TRUE,46,57,TRUE,55,68,TRUE,160,200,TRUE,230,300,
KMA135R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,10,26,TRUE,19,48,TRUE,23,58,TRUE,60,170,TRUE,90,245,
KMA135R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMA200R,HT/HL-KM,0000 710 7102,"KM Carbon Fiber Shaft Extension (37"")",FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FSB-KM,4137 740 5009 US,FSB-KM Curved Shaft Trimmer,FALSE, , ,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,HT-KM,4140 710 7143,"HT-KM Steel Shaft Extension (37"")",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,
KMA200R,FS-KM_TRIMMER,4180 200 0471 US,FS-KM Straight Shaft Trimmer,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,16,32,TRUE,20,40,TRUE,,,TRUE,,,
KMA200R,FS-KM_BLADE,4180 200 0472 US,FS-KM 4-Tooth Grass Blade,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,16,32,TRUE,20,40,TRUE,,,TRUE,,,
KMA200R,FBD-KM,4180 740 5000 US,FBD-KM Bed Redefiner,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,9,9,TRUE,14,14,TRUE,17,17,TRUE,,,TRUE,,,
KMA200R,FCB-KM,4180 740 5003 US,FCB-KM Curved Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,11,22,TRUE,17,34,TRUE,20,40,TRUE,,,TRUE,,,
KMA200R,RG-KM,4180 740 5007 US,RG-KM Reciprocator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,27,37,TRUE,42,56,TRUE,50,66,TRUE,,,TRUE,,,
KMA200R,FCS-KM,4180 740 5009 US,FCS-KM Straight Lawn Edger,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,11,22,TRUE,17,34,TRUE,20,40,TRUE,,,TRUE,,,
KMA200R,HT-KM_12IN,4182 200 0210 US,"HT-KM Pruner - 12"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,7,24,TRUE,12,37,TRUE,14,44,TRUE,,,TRUE,,,
KMA200R,HT-KM_10IN,4182 200 0219 US,"HT-KM Pruner - 10"" Bar",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,7,24,TRUE,12,37,TRUE,14,44,TRUE,,,TRUE,,,
KMA200R,HL-KM_20IN_FIXED,4243 740 5001 US,"HL-KM Straight Hedge Trimmer - 20"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,31,55,TRUE,48,84,TRUE,57,99,TRUE,,,TRUE,,,
KMA200R,HL-KM_20IN_ART,4243 740 5004 US,"HL-KM Adjustable Hedge Trimmer - 20""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,31,55,TRUE,48,84,TRUE,57,99,TRUE,,,TRUE,,,
KMA200R,FH-KM,4243 740 5007 US,FH-KM Adjustable Power Scythe,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,37,55,TRUE,56,84,TRUE,66,99,TRUE,,,TRUE,,,
KMA200R,HL-KM_24IN_ART,4243 740 5009 US,"HL-KM Adjustable Hedge Trimmer - 24""",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,31,55,TRUE,48,84,TRUE,57,99,TRUE,,,TRUE,,,
KMA200R,HL-KM_24IN_FIXED,4243 740 5010 US,"HL-KM Straight Hedge Trimmer - 24"" ",FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,31,55,TRUE,48,84,TRUE,57,99,TRUE,,,TRUE,,,
KMA200R,KW-KM,4601 740 4900 US,KW-KM PowerSweep,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,19,27,TRUE,30,42,TRUE,35,50,TRUE,,,TRUE,,,
KMA200R,KB-KM,4601 740 4901 US,KB-KM Bristle Brush,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,19,27,TRUE,30,42,TRUE,35,50,TRUE,,,TRUE,,,
KMA200R,BF-KM,4601 740 5001 US,BF-KM Mini-Culitvator,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,24,37,TRUE,37,56,TRUE,44,66,TRUE,,,TRUE,,,
KMA200R,BG-KM,4606 740 5001 US,BG-KM Blower,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,7,24,TRUE,11,37,TRUE,14,44,TRUE,,,TRUE,,,
KMA200R,FSS-KM,FA03 200 0021 US,FSS-KM Hi-Torque Trimmer Attachment,FALSE,,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,TRUE,16,32,TRUE,20,40,TRUE,,,TRUE,,,
